dataset,model_name,train_loss,valid_loss,accuracy
UWaveGestureLibrary,FCN,1.7884968519210815,1.77179753780365,0.4312500059604645
UWaveGestureLibrary,FCNPlus,1.802449107170105,1.787108063697815,0.5
UWaveGestureLibrary,InceptionTime,1.4072918891906738,1.962742805480957,0.3812499940395355
UWaveGestureLibrary,InceptionTimePlus,1.2543038129806519,1.9333741664886475,0.5218750238418579
UWaveGestureLibrary,InCoordTime,2.056727409362793,2.0318005084991455,0.3125
UWaveGestureLibrary,XCoordTime,2.0681052207946777,2.054534435272217,0.125
UWaveGestureLibrary,InceptionTimePlus17x17,1.8558539152145386,2.0166561603546143,0.2874999940395355
UWaveGestureLibrary,InceptionTimePlus32x32,1.2969564199447632,1.935890555381775,0.41874998807907104
UWaveGestureLibrary,InceptionTimePlus47x47,1.0449753999710083,1.8820912837982178,0.515625
UWaveGestureLibrary,InceptionTimePlus62x62,0.9778018593788147,1.7357378005981445,0.574999988079071
UWaveGestureLibrary,MultiInceptionTimePlus,1.2819855213165283,1.9394443035125732,0.3125
UWaveGestureLibrary,MultiRocket,0.4115227162837982,0.49831706285476685,0.893750011920929
UWaveGestureLibrary,MultiRocketPlus,0.463016152381897,0.7976059913635254,0.859375
UWaveGestureLibrary,InceptionRocketPlus,0.49802112579345703,0.6763347387313843,0.8343750238418579
UWaveGestureLibrary,MLP,1.1915773153305054,0.5075875520706177,0.84375
UWaveGestureLibrary,OmniScaleCNN,1.6962127685546875,1.8356577157974243,0.4437499940395355
UWaveGestureLibrary,RNN,2.019890785217285,1.9153869152069092,0.27812498807907104
UWaveGestureLibrary,LSTM,2.042543649673462,1.996228814125061,0.30000001192092896
UWaveGestureLibrary,GRU,2.046348810195923,2.005946397781372,0.28125
UWaveGestureLibrary,RNNPlus,2.051527976989746,1.9967262744903564,0.24375000596046448
UWaveGestureLibrary,LSTMPlus,2.015465259552002,1.971578598022461,0.30937498807907104
UWaveGestureLibrary,GRUPlus,2.0283634662628174,1.9883029460906982,0.25
UWaveGestureLibrary,RNN_FCN,1.7607191801071167,1.485854983329773,0.671875
UWaveGestureLibrary,LSTM_FCN,1.7511597871780396,1.6315395832061768,0.6625000238418579
UWaveGestureLibrary,GRU_FCN,1.7031697034835815,1.5071206092834473,0.6937500238418579
UWaveGestureLibrary,MRNN_FCN,1.704839825630188,1.5328009128570557,0.612500011920929
UWaveGestureLibrary,MLSTM_FCN,1.7461578845977783,1.7352733612060547,0.6343749761581421
UWaveGestureLibrary,MGRU_FCN,1.6713076829910278,1.5733087062835693,0.703125
UWaveGestureLibrary,RNN_FCNPlus,1.6852561235427856,1.4249199628829956,0.699999988079071
UWaveGestureLibrary,LSTM_FCNPlus,1.7212920188903809,1.6004196405410767,0.684374988079071
UWaveGestureLibrary,GRU_FCNPlus,1.756801724433899,1.542069673538208,0.6812499761581421
UWaveGestureLibrary,MRNN_FCNPlus,1.7449277639389038,1.5379257202148438,0.596875011920929
UWaveGestureLibrary,MLSTM_FCNPlus,1.698652982711792,1.6798629760742188,0.71875
UWaveGestureLibrary,MGRU_FCNPlus,1.7139841318130493,1.5832889080047607,0.721875011920929
UWaveGestureLibrary,ResCNN,1.6107027530670166,1.8663450479507446,0.4156250059604645
UWaveGestureLibrary,ResNet,1.463369369506836,1.8529361486434937,0.559374988079071
UWaveGestureLibrary,ResNetPlus,1.5576483011245728,1.8825492858886719,0.453125
UWaveGestureLibrary,TCN,2.0837783813476562,2.0805253982543945,0.125
UWaveGestureLibrary,XCM,1.4046995639801025,1.1372668743133545,0.6937500238418579
UWaveGestureLibrary,XCMPlus,1.3680462837219238,1.3328874111175537,0.7093750238418579
UWaveGestureLibrary,xresnet1d18,1.5127078294754028,1.7194392681121826,0.3656249940395355
UWaveGestureLibrary,xresnet1d34,1.539124846458435,1.6719071865081787,0.42500001192092896
UWaveGestureLibrary,xresnet1d50,0.8018007278442383,1.454211711883545,0.515625
UWaveGestureLibrary,xresnet1d101,0.7739439606666565,1.235687255859375,0.6343749761581421
UWaveGestureLibrary,xresnet1d152,0.8217705488204956,1.3917303085327148,0.5562499761581421
UWaveGestureLibrary,xresnet1d18_deep,1.2586095333099365,1.5929380655288696,0.609375
UWaveGestureLibrary,xresnet1d34_deep,1.1794072389602661,1.604304552078247,0.5531250238418579
UWaveGestureLibrary,xresnet1d50_deep,0.6302255988121033,1.2485054731369019,0.596875011920929
UWaveGestureLibrary,xresnet1d18_deeper,1.252013087272644,1.4366614818572998,0.606249988079071
UWaveGestureLibrary,xresnet1d34_deeper,1.143865942955017,1.4774967432022095,0.6156250238418579
UWaveGestureLibrary,xresnet1d50_deeper,0.4940139055252075,1.1176472902297974,0.653124988079071
UWaveGestureLibrary,xresnet1d18plus,1.6072943210601807,1.960843801498413,0.39375001192092896
UWaveGestureLibrary,xresnet1d34plus,1.567315936088562,1.9731601476669312,0.390625
UWaveGestureLibrary,xresnet1d50plus,0.8821743726730347,1.9229103326797485,0.24687500298023224
UWaveGestureLibrary,xresnet1d101plus,0.7905867695808411,1.9647890329360962,0.22812500596046448
UWaveGestureLibrary,xresnet1d152plus,0.8441100716590881,1.8249015808105469,0.3968749940395355
UWaveGestureLibrary,xresnet1d18_deepplus,1.3884341716766357,1.9903581142425537,0.33125001192092896
UWaveGestureLibrary,xresnet1d34_deepplus,1.368972659111023,1.9967048168182373,0.3218750059604645
UWaveGestureLibrary,xresnet1d50_deepplus,0.6351591944694519,2.192793369293213,0.31562501192092896
