dataset,feature_num,class_num,seq_len,model_name,train_loss,valid_loss,accuracy
ArticularyWordRecognition,9,25,144,MultiRocket,0.2288329154253006,0.3889336884021759,0.9366666674613953
AtrialFibrillation,2,3,640,MultiRocket,0.4619356393814087,9.459716796875,0.3333333432674408
BasicMotions,6,4,100,MultiRocket,0.37642356753349304,0.06427772343158722,1.0
Cricket,6,12,1197,MultiRocket,0.3922558128833771,0.16363006830215454,0.9305555820465088
Epilepsy,3,4,206,MultiRocket,0.2025589942932129,0.24556207656860352,0.9492753744125366
EthanolConcentration,3,4,1751,MultiRocket,1.4529513120651245,1.6592172384262085,0.5019011497497559
ERing,4,6,65,MultiRocket,,,0.1666666716337204
FaceDetection,144,2,62,MultiRocket,0.05731317028403282,2.656930923461914,0.604710578918457
FingerMovements,28,2,50,MultiRocket,0.5375584363937378,1.8983089923858643,0.5199999809265137
HandMovementDirection,10,4,400,MultiRocket,0.5985485911369324,2.1253302097320557,0.37837839126586914
Handwriting,3,26,152,MultiRocket,2.498889684677124,5.801978588104248,0.2729411721229553
Heartbeat,61,2,405,MultiRocket,1.0699609518051147,0.9384094476699829,0.6878048777580261
Libras,2,15,45,MultiRocket,0.6853854656219482,1.1834418773651123,0.8611111044883728
LSST,6,14,36,MultiRocket,0.5761109590530396,4.776713848114014,0.6394971609115601
NATOPS,24,6,51,MultiRocket,0.4937637746334076,0.4349866211414337,0.8500000238418579
PenDigits,2,10,8,MultiRocket,,,0.1037735864520073
Phoneme,1,39,1024,MultiRocket,4.323153018951416,9.415498733520508,0.21044303476810455
RacketSports,6,4,30,MultiRocket,0.30382972955703735,1.2192820310592651,0.7236841917037964
SelfRegulationSCP1,6,2,896,MultiRocket,0.4107503890991211,0.6900984644889832,0.8805460929870605
SelfRegulationSCP2,7,2,1152,MultiRocket,0.9897431135177612,1.16167414188385,0.5388888716697693
StandWalkJump,4,3,2500,MultiRocket,0.34508827328681946,1.90777587890625,0.6666666865348816
UWaveGestureLibrary,3,8,315,MultiRocket,0.5018185973167419,0.3774626553058624,0.90625
ACSF1,1,10,1460,MultiRocket,0.877621054649353,2.0558669567108154,0.6600000262260437
Adiac,1,37,176,MultiRocket,1.2150158882141113,1.6842026710510254,0.7314578294754028
AllGestureWiimoteX,1,10,385,MultiRocket,,,0.10000000149011612
AllGestureWiimoteY,1,10,385,MultiRocket,,,0.10000000149011612
AllGestureWiimoteZ,1,10,385,MultiRocket,,,0.10000000149011612
ArrowHead,1,3,251,MultiRocket,0.5928125977516174,0.8769566416740417,0.6971428394317627
Beef,1,5,470,MultiRocket,1.863206148147583,2.3939337730407715,0.5333333611488342
BeetleFly,1,2,512,MultiRocket,0.21363510191440582,1.2373764514923096,0.5
BirdChicken,1,2,512,MultiRocket,0.1996748298406601,1.3492701053619385,0.6500000357627869
BME,1,3,128,MultiRocket,0.30725356936454773,0.8519181609153748,0.7133333086967468
Car,1,4,577,MultiRocket,0.6975031495094299,2.119548797607422,0.44999998807907104
CBF,1,3,128,MultiRocket,0.300445020198822,5.379726886749268,0.6666666865348816
Chinatown,1,2,24,MultiRocket,0.19374282658100128,0.11341550201177597,0.9620991349220276
ChlorineConcentration,1,3,166,MultiRocket,1.5255379676818848,1.3590105772018433,0.6390625238418579
CinCECGTorso,1,4,1639,MultiRocket,0.6820549964904785,1.1646678447723389,0.6594203114509583
Coffee,1,2,286,MultiRocket,0.184161975979805,0.4184677302837372,0.7142857313156128
Computers,1,2,720,MultiRocket,1.0367567539215088,2.646052598953247,0.6679999828338623
CricketX,1,12,300,MultiRocket,0.875156819820404,2.3880972862243652,0.6948717832565308
CricketY,1,12,300,MultiRocket,1.0048320293426514,2.190042734146118,0.6871795058250427
CricketZ,1,12,300,MultiRocket,1.0841928720474243,1.866135835647583,0.7333333492279053
Crop,1,24,46,MultiRocket,0.13214021921157837,2.6603176593780518,0.7664285898208618
DiatomSizeReduction,1,4,345,MultiRocket,,,0.10784313827753067
DistalPhalanxOutlineAgeGroup,1,3,80,MultiRocket,0.9213319420814514,1.3981105089187622,0.6978417038917542
DistalPhalanxOutlineCorrect,1,2,80,MultiRocket,0.8070295453071594,1.8382850885391235,0.75
DistalPhalanxTW,1,6,80,MultiRocket,0.7810706496238708,3.328566789627075,0.6834532618522644
DodgerLoopDay,1,7,288,MultiRocket,1.5437886714935303,6.220255374908447,0.23749999701976776
DodgerLoopGame,1,2,288,MultiRocket,0.2127545177936554,10.853496551513672,0.47826087474823
DodgerLoopWeekend,1,2,288,MultiRocket,0.18929314613342285,3.8226327896118164,0.739130437374115
Earthquakes,1,2,512,MultiRocket,0.714196503162384,0.8354256749153137,0.6474820375442505
ECG200,1,2,96,MultiRocket,0.5627530813217163,0.45979249477386475,0.8999999761581421
ECG5000,1,5,140,MultiRocket,0.5545516610145569,1.6555968523025513,0.9393333196640015
ECGFiveDays,1,2,136,MultiRocket,0.4346986711025238,3.3612022399902344,0.49709638953208923
ElectricDevices,1,7,96,MultiRocket,0.5088664889335632,7.0892438888549805,0.7251977920532227
EOGHorizontalSignal,1,12,1250,MultiRocket,0.9447431564331055,5.43288516998291,0.5082873106002808
EOGVerticalSignal,1,12,1250,MultiRocket,1.0276092290878296,6.176375389099121,0.4033149182796478
EthanolLevel,1,4,1751,MultiRocket,0.7135561108589172,1.8587831258773804,0.5720000267028809
FaceAll,1,14,131,MultiRocket,0.2400752305984497,10.279014587402344,0.7372781038284302
FaceFour,1,4,350,MultiRocket,0.4158341884613037,2.50312876701355,0.625
FacesUCR,1,14,131,MultiRocket,0.608258068561554,1.7322371006011963,0.757073163986206
FiftyWords,1,50,270,MultiRocket,1.6948046684265137,4.678161144256592,0.7164835333824158
Fish,1,7,463,MultiRocket,0.2608242928981781,0.6004886627197266,0.8914285898208618
FordA,1,2,500,MultiRocket,0.12743492424488068,0.5538579821586609,0.9469696879386902
FordB,1,2,500,MultiRocket,0.1277465969324112,2.419100761413574,0.8222222328186035
FreezerRegularTrain,1,2,301,MultiRocket,0.1213381215929985,0.2839865982532501,0.9210526347160339
FreezerSmallTrain,1,2,301,MultiRocket,0.20307505130767822,3.058366537094116,0.5
Fungi,1,18,201,MultiRocket,0.8827081918716431,5.8979387283325195,0.22043010592460632
GestureMidAirD1,1,26,360,MultiRocket,3.2581536769866943,3.258096694946289,0.03846153989434242
GestureMidAirD2,1,26,360,MultiRocket,3.258174419403076,3.258096694946289,0.03846153989434242
GestureMidAirD3,1,26,360,MultiRocket,3.2581794261932373,3.2580971717834473,0.03846153989434242
GesturePebbleZ1,1,6,455,MultiRocket,0.6853117346763611,0.9670860171318054,0.6337209343910217
GesturePebbleZ2,1,6,455,MultiRocket,1.7917859554290771,1.7917588949203491,0.1835443079471588
GunPoint,1,2,150,MultiRocket,0.2053624391555786,0.1362578570842743,0.9466666579246521
GunPointAgeSpan,1,2,150,MultiRocket,0.14253485202789307,0.027522681280970573,0.9841772317886353
GunPointMaleVersusFemale,1,2,150,MultiRocket,0.23690618574619293,0.21558897197246552,0.9303797483444214
GunPointOldVersusYoung,1,2,150,MultiRocket,0.039446718990802765,6.151699926704168e-05,1.0
Ham,1,2,431,MultiRocket,1.165216088294983,1.1995973587036133,0.6000000238418579
HandOutlines,1,2,2709,MultiRocket,0.2759380340576172,0.37989386916160583,0.9405405521392822
Haptics,1,5,1092,MultiRocket,1.1698460578918457,2.0494508743286133,0.4707792103290558
Herring,1,2,512,MultiRocket,0.5246978402137756,0.7378511428833008,0.53125
HouseTwenty,1,2,2000,MultiRocket,0.18272319436073303,6.172971725463867,0.5798319578170776
InlineSkate,1,7,1882,MultiRocket,1.075915813446045,2.5658810138702393,0.294545441865921
InsectEPGRegularTrain,1,3,601,MultiRocket,0.32174065709114075,0.546972930431366,0.8313252925872803
InsectEPGSmallTrain,1,3,601,MultiRocket,0.3131713271141052,0.6132670044898987,0.823293149471283
InsectWingbeatSound,1,11,256,MultiRocket,1.8040778636932373,2.4986331462860107,0.6045454740524292
ItalyPowerDemand,1,2,24,MultiRocket,0.15006424486637115,0.23249933123588562,0.94266277551651
LargeKitchenAppliances,1,3,720,MultiRocket,0.6100003123283386,0.9277803301811218,0.8453333377838135
Lightning2,1,2,637,MultiRocket,1.4303388595581055,1.126220464706421,0.7540983557701111
Lightning7,1,7,319,MultiRocket,1.045719861984253,8.809259414672852,0.232876718044281
Mallat,1,8,1024,MultiRocket,0.8486952185630798,1.337707281112671,0.42132195830345154
Meat,1,3,448,MultiRocket,0.33641618490219116,1.9651159048080444,0.3333333432674408
MedicalImages,1,10,99,MultiRocket,1.72795832157135,2.091888904571533,0.7223684191703796
MelbournePedestrian,1,10,24,MultiRocket,0.6711608171463013,0.6900638937950134,0.9405494332313538
MiddlePhalanxOutlineAgeGroup,1,3,80,MultiRocket,0.9019717574119568,3.2206544876098633,0.5454545617103577
MiddlePhalanxOutlineCorrect,1,2,80,MultiRocket,0.3186003267765045,0.5499849319458008,0.8453608155250549
MiddlePhalanxTW,1,6,80,MultiRocket,1.0750834941864014,2.892455577850342,0.4740259647369385
MixedShapesRegularTrain,1,5,1024,MultiRocket,0.28014978766441345,0.5623213052749634,0.9538144469261169
MixedShapesSmallTrain,1,5,1024,MultiRocket,0.32244038581848145,0.48751404881477356,0.8734020590782166
MoteStrain,1,2,84,MultiRocket,0.9875563383102417,1.771738052368164,0.8186901211738586
OliveOil,1,4,570,MultiRocket,0.4885913133621216,2.7157983779907227,0.13333334028720856
OSULeaf,1,6,427,MultiRocket,0.339825838804245,0.2976343333721161,0.9008264541625977
PhalangesOutlinesCorrect,1,2,80,MultiRocket,0.16920776665210724,0.8969897031784058,0.8379953503608704
Phoneme,1,39,1024,MultiRocket,4.2359538078308105,9.41104507446289,0.22204641997814178
PickupGestureWiimoteZ,1,10,361,MultiRocket,,,0.10000000149011612
PigAirwayPressure,1,52,2000,MultiRocket,1.8406529426574707,4.078621864318848,0.20673076808452606
PigArtPressure,1,52,2000,MultiRocket,1.0664750337600708,3.072458505630493,0.4759615361690521
PigCVP,1,52,2000,MultiRocket,2.890557050704956,7.527028560638428,0.24038460850715637
PLAID,1,11,1344,MultiRocket,2.3873651027679443,2.3833861351013184,0.1601489782333374
Plane,1,7,144,MultiRocket,0.18197575211524963,0.005987988784909248,1.0
PowerCons,1,2,144,MultiRocket,0.29857298731803894,0.2718360126018524,0.9388889074325562
ProximalPhalanxOutlineAgeGroup,1,3,80,MultiRocket,0.34382888674736023,0.9134395122528076,0.8439024686813354
ProximalPhalanxOutlineCorrect,1,2,80,MultiRocket,0.3933517634868622,0.504716157913208,0.8934707641601562
ProximalPhalanxTW,1,6,80,MultiRocket,0.6433517932891846,1.8279181718826294,0.790243923664093
RefrigerationDevices,1,3,720,MultiRocket,0.729282796382904,3.8480632305145264,0.47200000286102295
Rock,1,4,2844,MultiRocket,0.4662119746208191,1.2336680889129639,0.6399999856948853
ScreenType,1,3,720,MultiRocket,2.1913115978240967,2.9441871643066406,0.5013333559036255
SemgHandGenderCh2,1,2,1500,MultiRocket,0.2726197838783264,0.3064584732055664,0.8633333444595337
SemgHandMovementCh2,1,6,1500,MultiRocket,1.4658857583999634,1.5637121200561523,0.5666666626930237
SemgHandSubjectCh2,1,5,1500,MultiRocket,0.6289914846420288,0.8607577085494995,0.7755555510520935
ShakeGestureWiimoteZ,1,10,385,MultiRocket,,,0.10000000149011612
ShapeletSim,1,2,500,MultiRocket,0.18631911277770996,25.771181106567383,0.5
ShapesAll,1,60,512,MultiRocket,0.9673205018043518,2.2965734004974365,0.846666693687439
SmallKitchenAppliances,1,3,720,MultiRocket,1.0168299674987793,1.5821678638458252,0.7146666646003723
SmoothSubspace,1,3,15,MultiRocket,0.14820818603038788,0.2984098792076111,0.8933333158493042
SonyAIBORobotSurface1,1,2,70,MultiRocket,0.18774990737438202,3.478559970855713,0.5757071375846863
SonyAIBORobotSurface2,1,2,65,MultiRocket,,,0.38300105929374695
StarLightCurves,1,3,1024,MultiRocket,0.1446860134601593,0.2717282772064209,0.9661243557929993
Strawberry,1,2,235,MultiRocket,0.22925056517124176,0.19522406160831451,0.9621621370315552
SwedishLeaf,1,15,128,MultiRocket,0.4607688784599304,0.4378809928894043,0.9247999787330627
Symbols,1,6,398,MultiRocket,0.5257998704910278,2.179643154144287,0.4190954864025116
SyntheticControl,1,6,60,MultiRocket,0.0852893590927124,0.042397309094667435,0.9833333492279053
ToeSegmentation1,1,2,277,MultiRocket,0.7435684204101562,2.8730149269104004,0.5438596606254578
ToeSegmentation2,1,2,343,MultiRocket,0.29932257533073425,0.9552159309387207,0.8769230842590332
Trace,1,4,275,MultiRocket,0.12507620453834534,0.08102404326200485,0.9700000286102295
TwoLeadECG,1,2,82,MultiRocket,0.19632060825824738,0.09727708995342255,0.982440710067749
TwoPatterns,1,4,128,MultiRocket,0.05439506098628044,0.02788238786160946,0.9950000047683716
UMD,1,3,150,MultiRocket,0.40218254923820496,1.6398179531097412,0.5347222089767456
UWaveGestureLibraryAll,1,8,945,MultiRocket,,,0.12199888378381729
UWaveGestureLibraryX,1,8,315,MultiRocket,0.9640080332756042,1.9393680095672607,0.8450586199760437
UWaveGestureLibraryY,1,8,315,MultiRocket,1.0846314430236816,2.348787784576416,0.7573981285095215
UWaveGestureLibraryZ,1,8,315,MultiRocket,1.0063254833221436,2.4948816299438477,0.768285870552063
Wafer,1,2,152,MultiRocket,0.09542727470397949,0.011939658783376217,0.9991888403892517
Wine,1,2,234,MultiRocket,1.0263049602508545,1.6673916578292847,0.5
WordSynonyms,1,25,270,MultiRocket,1.8615739345550537,4.083892822265625,0.5987460613250732
Worms,1,5,900,MultiRocket,1.537359595298767,1.5051891803741455,0.5064935088157654
WormsTwoClass,1,2,900,MultiRocket,1.3944597244262695,1.6402342319488525,0.5974025726318359
Yoga,1,2,426,MultiRocket,0.545839250087738,0.7217195630073547,0.8153333067893982
